"Agency","Component","Fiscal Year","Statute","Case Citation","Type of Information Withheld","Number of Times Relied Upon"
"United States Postal Service","Agency Overall","2015","39 U.S.C. § 410(c )(2)","Wickwire Gavin, P.C. v. USPS, 356 F. 3d 588, 589, 597 (4th Cir. 2004); Am. Postal Workers Union, AFL-CIO v. USPS, 742 F. Supp. 2d 76, 81-83 (D.D.C. 2010); Reid v. USPS, No. 05-294, 2006 WL. 1876682, at *5-9 (S.D. III, July 5, 2006).","Records relating to commercial information that is proprietary to the Postal Service","123"
"United States Postal Service","Agency Overall","2015","39 U.S.C. § 410 (c )(3)","N/A","Records containing information prepared for use in the negotiation of collective bargaining agreements under 39 U.S.C. Chapter 12 and minutes or notes kept during the negotiating sessions","1"
"United States Postal Service","Agency Overall","2015","39 U.S.C. § 410 (c )(6)","N/A","Investigatory files, whether or not considered closed, compiled for law enforcement purposes except to the extent available by law to a party other than the Postal Service","2"
"United States Postal Service","Agency Overall","2015","39 U.S.C. § 412","N/A","Records containing lists of postal customers","16"
"United States Postal Service","Agency Overall","2015","18 U.S.C. § 2510 (Title III of the Omnibus Crime Control and Safe Streets Act)","Mendoza v. DEA, No. 07-5006, 2007 U.S. App. LEXIS  22175 (D.C. Cir. Sept 14, 2007) (per curiam); Lam Lek Chong v. DEA, 929 F .2d 729, 733 (D.C. Cir. 1991); Payne v. DOJ, No. 96-30840, slip op. at 5-6","Wiretap requests and the contents of any wire, oral, or electronic communication obtained through wiretaps","1"
"United States Postal Service","Agency Overall","2015","18 U.S.C. § 1461","N/A","Mail matter that is obscene or crime-inciting","2"
"United States Postal Service","Agency Overall","2015","Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319","Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981); Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008)","Certain records pertaining to grand jury proceedings","7"
"United States Postal Service","Agency Overall","2015","Pub. L. No. 95-452, 92 Stat. 1101","N/A","Identities of employees that have submitted complaints and or provided information during the course of an OIG investigation","4"
"Federal Energy Regulatory Commission","Agency Overall","2015","16 U.S.C. § 470hh","Hombostel  v. U.S. Dep’t of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-05257, 2004 WL 1900562) (D.C. Cir. Aug. 25, 2004)","Information pertaining to the nature and location of certain archaelogical resources.","14"
"Small Business Administration","Agency Overall","2015","26 U.S.C. §§ 6103, 6105 (Internal Revenue Code)","Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Leonard v. U.S. Dep't of Treasury, 590 F. App'x. 141, 143-44 (3d Cir. 2014) (per curiam); Pac. Fisheries, Inc. v. IRS, 395 F. App'x. 438, 440 (9th Cir. 2010) (unpublished disposition) (26 U.S.C. §§ 6103, 6105); Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002) (26 U.S.C. § 6105).","Certain tax return information, to include Taxpayer Identification Numbers of third parties, and certain tax convention information","13"
"Small Business Administration","Agency Overall","2015","Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319","Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981); Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).","Certain records pertaining to grand jury proceedings","1"
"Farm Credit System Insurance Corporation","Agency Overall","2015","N/A","N/A","N/A","0"
"Institute of Museum and Library Services","Agency Overall","2015","N/A","N/A","N/A","0"
"National Indian Gaming Commission","Agency Overall","2015","N/A","N/A","N/A","0"
"U.S. Railroad Retirement Board","Agency Overall","2015","45 U.S.C. 362(d) (Railroad Unemployment Insurance Act)","Ass'n. of Retired Railroad Workers v. U.S. Railroad Retirement Board, 830 F. 2d 331,334 (D.C. Cir. 1987); Nat'l. Ass'n. of Retired & Veteran Ry. Employees v. R.R. Ret. Bd., 87-117, slip op. at 5 (N.D. Ohio Feb. 20, 1991).","Information obtained by the Railroad Retirement Board that reveals, in any manner, an employee's identity","32"
"Federal Trade Commission","Agency Overall","2015","15 U.S.C. § 46(f)","Doherty v. FTC, No. 80-0513, 1981 WL 2094, at *3 (D.D.C. June 24, 1981) (15 U.S.C. § 46(f)).","""[A]ny trade secret or any commercial or financial information which is obtained from any person and which is privileged or confidential""","54"
"Federal Trade Commission","Agency Overall","2015","15 U.S.C. § 57b-2","A. Michael's Piano, Inc. v. FTC, 18 F.3d 138, 143-44 (2d Cir. 1994) (15 U.S.C. § 57b-2); Ayuda, Inc. v. FTC, No. 13-1266, 2014 WL 4829574, at *19-20 (D.D.C. Sept. 30, 2014) (15 U.S.C. § 57b-2); Carter, Fullerton & Hayes, LLC v. FTC, 637 F. Supp. 2d 1, 9 (D.D.C. 2009) (15 U.S.C. § 57b-2); National Educ. Ass'n v. FTC, No. 79-959-S, 1983 WL 1883, at *1 (D. Mass. Sept. 26, 1983) (15 U.S.C. § 57b-2).","Certain investigative materials received by the FTC and ""provided pursuant to any compulsory process under this subchapter or which is provided voluntarily in place of such compulsory process"" or ""[A]ny material reflecting a consumer complaint obtained from any other foreign source, if that foreign source supplying the material has requested confidential treatment as a condition of providing the material""","138"
"Federal Trade Commission","Agency Overall","2015","15 U.S.C. § 18(a)(h)","Lieberman v. FTC, 771 F.2d 32 (2nd Cir. 1985).","Information submitted in connection with the premerger notification provisions of the Hart-Scott-Rodino Antitrust Improvements Act of 1976.","22"
"Federal Trade Commission","Agency Overall","2015","21 U.S.C. § 355","N/A","Any information or documentary material that may have been filed pursuant to a pharmaceutical agreement notification.","5"
"Federal Trade Commission","Agency Overall","2015","41 U.S.C. § 253b(m)(1)","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts.","2"
"Nuclear Regulatory Commission","Agency Overall","2015","42 U.S.C. 2167","Va. Sunshine Alliance v. NRC, 509 F. Supp. 863 (D.D.C.1981), aff'd, 669 F.2d 788 (D.C. Cir. 1981)","Certain Safeguards Information","1"
"Nuclear Regulatory Commission","Agency Overall","2015","42 U.S.C. § 2162 (Atomic Energy Act)","Meeropol v. Smith, No. 75- 1121, slip op. at 53-55 (D.D.C. Feb. 29, 1984), aff'd in relevant part & remanded in part on other grounds sub nom., Meeropol v. Meese, 790 F.2d 942 (D.C. Cir. 1986).","""Restricted Data"" pertaining to atomic weapons and special nuclear material","6"
"Nuclear Regulatory Commission","Agency Overall","2015","Convention on Nuclear Safety, Article 27","A treaty is presumed to qualify as a statute under Exemption 3 because of Senate approval. No court decision.","Information provided by a party to the convention and identified by that party as protected.","83"
"Federal Financial Institutions Examination Council","Agency Overall","2015","N/A","N/A","N/A","0"
"Export-Import Bank of the U.S.","Agency Overall","2015","N/A","N/A","N/A","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2015","N/A","N/A","N/A","0"
"Department of Justice","Agency Overall","2015","5 U.S.C. app. § 107","Meyerhoff v. EPA, 958 F.2d 1498, 1500-02 (9th Cir. 1992); Concepcion v. FBI, 606 F. Supp. 2d 14, 33 (D.D.C. 2009).","Financial disclosure information pertaining to certain government employees","23"
"Department of Justice","Agency Overall","2015","8 U.S.C. § 1202(f)","Medina-Hincapie v. Dep't of State, 700 F.2d 737, 741-42 (D.C. Cir. 1983); DeLaurentiis v. Haig, 686 F.2d 192, 194 (3d Cir. 1982); Assadi v. Dep't of State, No. 12-1111, 2014 WL 4704840, at *6 (S.D.N.Y. Sept. 19, 2014); Beltranena v. U.S. Dep't of State, 821 F. Supp. 2d 167, 177-78 (D.D.C. 2011); Badalamenti v. U.S. Dep't of State, 899 F. Supp. 542, 547 (D. Kan. 1995); Jan-Xin Zang v. FBI, 756 F. Supp. 705, 711-12 (W.D.N.Y 1991); Smith v. DOJ, No. 81-CV-813, 1983 U.S. Dist. LEXIS 10878, at *13-14 (N.D.N.Y. Dec. 13, 1983).","Certain records pertaining to the issuance or refusal of visas to enter the United States","1"
"Department of Justice","Agency Overall","2015","10 U.S.C. § 130","Newport Aeronautical Sales v. Dep't of the Air Force, 660 F. Supp. 2d 60, 65 (D.D.C. 2009); Chenkin v. Dep't of the Army, No. 93-494, 1994 U.S. Dist. LEXIS 20907 at *8 (E.D. Pa. Jan. 14, 1994), aff'd, 61 F.3d 894 (3d Cir. 1995) (unpublished table decision).","Certain ""technical data with military or space application in the possession of, or under the control of, the Department of Defense""","1"
"Department of Justice","Agency Overall","2015","10 U.S.C. § 130c","Nat'l Inst. of Military Justice v. DOD, 404 F. Supp. 2d 325, 335-37 (D.D.C. 2005), aff'd on other grounds, 512 F.3d 677 (D.C. Cir. 2008), cert. denied, 129 S. Ct. 775 (U.S. 2008); ACLU v. DOD, 389 F. Supp. 2d 547, 554 (S.D.N.Y 2005); Gerstein v. DOD, No. 03-5193, slip op. at 8 (N.D. Ca. Dec. 21, 2004).","Certain ""sensitive information of foreign governments"" and certain international organizations","4"
"Department of Justice","Agency Overall","2015","10 U.S.C. § 424","Physicians for Human Rights v. DOD, No. RDB-08-273, 2011 WL 1495942, at *7 (D.D.C. Apr. 19, 2011); Miller v. DOJ, 562 F. Supp. 2d 82, 112 (D.D.C. 2008); Wickwire Gavin, P.C. v. Def. Intelligence Agency, 330 F. Supp. 2d 592, 602 (E.D. Va. 2004).","Organization or any function of, and certain information pertaining to, employees of the Defense Intelligence Agency, the National Reconnaissance Office, and the National Geospatial-Intelligence Agency","2"
"Department of Justice","Agency Overall","2015","10 U.S.C. § 1102","Goodrich v. Dep't of the Air Force, 404 F. Supp. 2d 48, 50-51 (D.D.C. 2005); Dayton Newspapers, Inc. v. Dep't of the Air Force, 107 F. Supp. 2d 912, 917 (S.D. Ohio 1999).","Medical quality assurance records","1"
"Department of Justice","Agency Overall","2015","10 U.S.C. § 2305(g)","Roman v. NSA, Nos. 09-2947, 09-4281, 09-3344, 09-2504, 09-5633, 2012 WL 569747, at *7 (E.D.N.Y. Feb. 22, 2012); Margolin v. NASA, No. 09-CV-00421-LRH-VPC, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011).","Certain contractor proposals","3"
"Department of Justice","Agency Overall","2015","13 U.S.C. §§ 8(b), 9(a)","Baldrige v. Shapiro, 455 U.S. 345, 355 (1982).","Certain census data","2"
"Department of Justice","Agency Overall","2015","15 U.S.C. § 18a(h)","Lieberman v. FTC, 771 F.2d 32 (2d Cir. 1985).","Information submitted in connection with the premerger notification provisions of the Hart-Scott-Rodino Antitrust Improvements Act of 1976","9"
"Department of Justice","Agency Overall","2015","15 U.S.C. § 1314(g)","Motion Picture Ass'n of Am. v. DOJ, No. 80 Civ. 6612, slip op. at 1 (S.D.N.Y. Oct. 6, 1981).","""Any documentary material, answers to written interrogatories, or transcripts of oral testimony"" provided pursuant to certain civil investigative demands pertaining to antitrust investigations","6"
"Department of Justice","Agency Overall","2015","15 U.S.C. § 3710a(c)","Pub. Citizen Health Research Group v. NIH, 209 F. Supp. 2d 37, 43, 51 (D.D.C. 2002); DeLorme Pub. Co., Inc. v. NOAA, 917 F. Supp. 867, 871-72 (D. Me. 1996), appeal dismissed per stipulation, No. 96-1601 (1st Cir. July 8, 1996).","""[T]rade secrets or commercial or financial information that is privileged or confidential, under the meaning of section 552(b)(4) of Title 5, which is obtained in the conduct of research or as a result of activities under this chapter which pertains to cooperative research and development agreements for the purpose of technological and industrial innovation","2"
"Department of Justice","Agency Overall","2015","16 U.S.C. § 5937","Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004); Sw. Ctr. For Biological Diversity v. USDA, 170 F. Supp. 2d 931, 945 (D. Ariz. 2000), aff'd 314 F. 3d 1060, 1062 (9th Cir. 2002); Pease v. U.S. Dep't of Interior, No. 1:99CV113, slip op. at 2, 4 (D. Vt. Sept. 17, 1999).","Information pertaining to: ""endangered, threatened, rare, or commercially valuable"" National Park System resources; ""mineral or paleontological objects within units of the National Park System""; or ""objects of cultural patrimony within units of the National Park System""","2"
"Department of Justice","Agency Overall","2015","18 U.S.C. § 701","Jones v. IRS, No. 06-CV-322, 2008 WL 1901208, at *3-4 (W.D. Mich. Apr. 25, 2008).","Establishes penalties for: manufacturing, selling, or possessing ""any badge, identification card, or other insignia, of the design prescribed by the head of any department or agency of the United States for use by any officer or employee thereof, or any colorable imitation thereof"": and photographing, printing, making or executing ""any engraving, photograph, print, or impression in the likeness of such badge, identification card, or other insignia, or any colorable imitation thereof""","18"
"Department of Justice","Agency Overall","2015","18 U.S.C. §§ 2510-20","Mendoza v. DEA, No. 07-5006, 2007 U.S. App. LEXIS 22175 (D.C. Cir. Sept. 14, 2007) (per curiam); Lam Lek Chong v. DEA, 929 F.2d 729, 733 (D.C. Cir. 1991); Payne v. DOJ, No. 96-30840, slip op. at 5-6 (5th Cir. July 11, 1997).","Wiretap requests and the contents of any wire, oral, or electronic communication obtained through wiretaps","151"
"Department of Justice","Agency Overall","2015","18 U.S.C. § 3123(d)","Labow v. DOJ, No. 11-1256, 2014 WL 4368954 at *8 (D.D.C. Sept. 4, 2014); Stephens v. DOJ, 26 F. Supp. 3d 59, 68 (D.D.C. 2014); Jennings v. FBI, No. 03-1651, slip ap. At 11-12 (D.D.C. May 6, 2004); Manna v. DOJ, 815 F. Supp. 798, 812 (D.N.J. 1993), aff'd on other grounds, 51 F.3d 1158 (3d Cir. 1995).","Certain court ""order[s] authorizing or approving the installation and use of a pen register or a trap and trace device""; information pertaining to ""the existence of the pen register or trap and trace device or the existence of the investigation""","51"
"Department of Justice","Agency Overall","2015","18 U.S.C. § 3153","N/A","Information regarding pre-trial services","4"
"Department of Justice","Agency Overall","2015","18 U.S.C. § 3509(d)","Tampico v. EOUSA, No. 04-2285, slip op. at 8 (D.D.C. Apr. 29, 2005).","Certain records containing identifying information pertaining to children involved in criminal proceedings","10"
"Department of Justice","Agency Overall","2015","18 U.S.C. § 3521(b)(1)(g)","Bonadonna v. DOJ, 791 F. Supp. 2d 269, 270 (D. Mass. 2010), aff'd, No. 10-1595, 2011 WL 4770189 (1st Cir. Jan. 7, 2011).","""[T]he identity or location of the person relocated or protected, or any other matter concerning the person or the program after weighing [various factors],"" subject to certain exceptions.","20"
"Department of Justice","Agency Overall","2015","18 U.S.C. § 4208(c)","DOJ v. Julian, 486 U.S. 1, 9 (1988).","Certain records pertaining to parole determination proceedings","4"
"Department of Justice","Agency Overall","2015","18 U.S.C. § 5038","N/A","Juvenile arrest records","1"
"Department of Justice","Agency Overall","2015","22 U.S.C. § 2778(e)","Council for Livable World v. U.S. Dep't of State, No. 96-1807, slip op. at 11 (D.D.C. Jan 21, 1998), amended (D.D.C. Nov. 23, 1998).","Certain information pertaining to export license applications","2"
"Department of Justice","Agency Overall","2015","26 U.S.C. §§ 6103, 6105","Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Pac. Fisheries, Inc. v. IRS, 395 F. App'x. 438, 440 (9th Cir. 2010) (unpublished disposition) (26 U.S.C. §§ 6103, 6105); Leonard v. U.S. Dep't of Treasury, No. 10-6625, 2013 WL 4517912 at *2 (D.N.J. Aug. 26, 2013) (26 U.S.C. § 6103); Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002) (26 U.S.C. § 6105).","Certain tax return information and certain tax convention information","63"
"Department of Justice","Agency Overall","2015","28 U.S.C. § 652(d)","Yelder v. DOD, 577 F. Supp. 2d 342, 347-48 (D.D.C. 2008).","[C]onfidential dispute resolution communications","3"
"Department of Justice","Agency Overall","2015","31 U.S.C. § 3730","N/A","Records pertaining to civil actions for false claims against the United States Government","2"
"Department of Justice","Agency Overall","2015","31 U.S.C. § 5319","Ortiz v. DOJ, No. 12-1674, 2014 WL 4449686, at *4 (D.D.C. Sept 9, 2014): Rosenberg v. ICE, 13 F. Supp. 3d 92, 114-15 (D.D.C. 2014); Hulstein v. DEA, No. 10-4112, 2011 U.S. Dist. LEXIS 25788, at *7-8 (N.D. Iowa Mar. 11, 2011); Council on Am.-Islamic Relations, Cal. v. FBI, 749 F. Supp. 2d 1104, 1117 (S.D. Cal. 2010); Berger v. IRS, 487 F. Supp. 2d 482, 496-97 (D.N.J. 2007), aff'd on other grounds, 288 F. App'x 839 (3d Cir. 2008).","Reports pertaining to monetary instruments transactions filed under subchapter II of chapter 53 of title 31 and records of those reports","35"
"Department of Justice","Agency Overall","2015","41 U.S.C. § 253b(m)(1) (currently at 41 U.S.C. § 4702(b))","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","4"
"Department of Justice","Agency Overall","2015","41 U.S.C. § 423(a)(1)","Legal & Safety Employer Research, Inc. v. U.S. Dep't of Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum).","Contractor bid or proposal information; source selection information","6"
"Department of Justice","Agency Overall","2015","42 U.S.C. § 2000g-2(b)","N/A","Community Relations Service confidentiality information","2"
"Department of Justice","Agency Overall","2015","42 U.S.C. § 2162","Meeropol v. Smith, No. 75-1121, slip op. at 53-55 (D.D.C. Feb. 29, 1984), aff'd in relevant part & remanded in part on other grounds sub nom, Meeropol v. Meese, 790 F.2d 942 (D.C. Cir. 1986).","""Restricted Data"" pertaining to atomic weapons and special nuclear material","1"
"Department of Justice","Agency Overall","2015","42 U.S.C. §§ 2286d(a), 2286g(3)","Nat. Res. Def. Council, Inc. v. Def. Nuclear Facilities Safety Bd., 969 F.2d 1248, 1249, 1251 (D.C. Cir. 1992).","Defense Nuclear Facilities Safety Board recommendations","1"
"Department of Justice","Agency Overall","2015","42 U.S.C. § 3789g","N/A","Data received by the Bureau of Justice Statistics and used only for statistical or research purposes","20"
"Department of Justice","Agency Overall","2015","49 U.S.C. § 114(s)","Skurow v. DHS, No. 11-1296, 2012 WL 4380895 at * 9-10 (D.D.C. Sept. 26, 2012); Tooley v. Bush, No. 06-306, 2006 WL 3783142, at *19 (D.D.C. Dec. 21, 2006), aff'd on other grounds, 586 F.3d 1006 (D.C. Cir. 2009); Gordon v. FBI, 390 F. Supp. 2d 897, 900 (N.D. Cal. 2004).","Information obtained or developed in carrying out security under the authority of the Aviation and Transportation Security Act or under chapter 449 of this title","1"
"Department of Justice","Agency Overall","2015","50 U.S.C. § 402 note","ACLU v. DOJ, 681 F.3d 61, 72-75 (2d Cir. 2012); Elec. Priv. Info. Ctr. v. NSA, 678 F.3d 926, 931 (D.C. Cir. 2012); Houghton v. NSA, 378 F. App'x 235, 238-39 (3d Cir. 2010) (per curiam); Lahr v. NTSB, 569 F.3d 964, 985 (9th Cir. 2009); Larson v. Dep't of State, 565 F.3d 857, 868-69 (D.C. Cir. 2009); Founding Church of Scientology v. NSA, 610 F.2d 824, 827-28 (D.C. Cir. 1979); Roman v. NSA, No. 07-CV-4502, 2009 WL 303686, at *5-6 (E.D.N.Y. Feb. 9, 2009), summary affirmance granted, 354 F. App'x. 591 (2d Cir. 2009).","Information pertaining to the functions or organization of NSA; certain information pertaining to NSA employees","5"
"Department of Justice","Agency Overall","2015","50 U.S.C. § 403-1(i)(1) (currently at 50 U.S.C. § 3024(i)(1))","CIA v. Sims, 471 U.S. 159, 167 (1985); ACLU v. DOJ, 681 F.3d 61, 72-75 (2d Cir. May 21, 2012); ACLU v. DOD, 628 F.3d 612, 619, 626 (D.C. Cir. 2011); Berman v. CIA, 501 F. 3d 1136, 1137-38, 1140 (9th Cir. 2007).","Intelligence sources and methods","353"
"Department of Justice","Agency Overall","2015","50 U.S.C. § 403g","Larson v. Dep't of State, 565 F.3d 857, 865 n.2 (D.C. Cir. 2009): Berman v. CIA, 501 F.3d 1136, 1137-38, 2250 (9th Cir. 2007); Makky v. Chertoff, 489 F. Supp. 2d 421, 442 (D.N.J. 2007), aff'd on other grounds, 541 F. 3d 205 (3d Cir. 2008).","Intelligence sources and methods; certain information pertaining to Agency employees, specifically: ""the organization, functions, names, official titles, salaries, or numbers of personnel employed by the Agency""","28"
"Department of Justice","Agency Overall","2015","50 U.S.C. 431","CIA v. Sims, 471 U.S. 159, 167, 174 n.19 (1985) (dictum); Wolf v. CIA, 569 F. Supp. 2d 1, 8 (D.D.C. 2008).","""[O]perational files of the Central Intelligence Agency""","2"
"Department of Justice","Agency Overall","2015","50 U.S.C. § 1702(a)(1)","Wis. Project or Nuclear Arms Control v. U.S. Dep't of Commerce, 317 F.3d 275, 284 (D.C. Cir. 2003).","Authorizes the President to ""regulate…prevent or prohibit…importation or exportation of…any property in which any foreign country or a national thereof has any interest…by any person, or with respect to any property, subject to the jurisdiction of the United States""","4"
"Department of Justice","Agency Overall","2015","50 U.S.C. § 1802(a)(3)","N/A","Authorization of electronic surveillance certified by the Attorney General","1"
"Department of Justice","Agency Overall","2015","Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319","Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Fund of Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981); Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).","Certain records pertaining to grand jury proceedings","725"
"Department of Justice","Agency Overall","2015","Fed. R. Crim. P. 32, enacted by Act of July 30, 1975, Pub. L. No. 94-64, § 2, 89 Stat. 370","DOJ v. Julian, 486 U.S. 1, 9 (1988).","Presentence reports and recommendations","56"
"Department of Justice","Agency Overall","2015","Pub. L. No. 110-161, 121 Stat. 1844, 1903-904 (Consolidated Appropriations Act, 2008)","City of Chicago v. U.S. Dep't of the Treasury, 423 F.3d 777 (7th Cir. 2005)","Firearms trace information, information required to be maintained by Federal Firearms Licensees (FFLs) pursuant to 18 U.S.C. § 923(g)","14"
"Department of Justice","Agency Overall","2015","Pub. L. No. 111-8, 123 Stat. 524","City of Chicago v. U.S. Dep't of the Treasury, 423 F.3d 777 (7th Cir. 2005)","Information required to be maintained by Federal Firearms Licensees and information maintained in the ATF Firearms Tracing Systems","138"
"Department of Justice","Agency Overall","2015","Treaty Between the Government of the United States of America and the Government of the State of Israel on Mutual Assistance in Criminal Matters, U.S.-Isr., Jan. 26, 1998, S. TREATY DOC. NO. 105-40 1998.","N/A","Evidence obtained by way of a treaty with a confidentiality clause","1"
"Department of Justice","Agency Overall","2015","Treaty Between the Government of the United States of America and the Russian Federation on Mutual Assistance in Criminal Matters, U.S.-Russ., June 17, 1999, S. TREATY DOC. NO. 106-22 2000.","N/A","Evidence obtained by way of a treaty with a confidentiality clause","1"
"Department of Justice","Agency Overall","2015","Treaty Between the United States of America and the Swiss Confederation on Mutual Assistance in Criminal Matters, U.S.-Switz., May 25, 1973, 27 U.S.T. 2019.","N/A","Evidence obtained by way of a treaty with a confidentiality clause","1"
"Department of Justice","Agency Overall","2015","United Nations Convention Against Illicit Traffic in Narcotic Drugs and Psychotropic Substances, Dec. 20, 1988, S. TREATY DOC. NO. 101-4 1990.","N/A","Evidence obtained by way of a treaty with a confidentiality clause","1"
"Department of Commerce","Agency Overall","2015","13 U.S.C. § 301(g) (Collection and Publication of Foreign Commerce Act)","Fund Afr. v. Mosbacher, No. 92 Civ. 289, 1993 WL 183736, at *5 (S.D.N.Y. May 26, 1993); Young Conservative Found., Inc. v. U.S. Dep't of Commerce, No. 85-3982, 1987 WL 9244, at *2-3 (D.D.C. Mar. 25, 1987).","Shippers' export declarations or successor documents","27"
"Department of Commerce","Agency Overall","2015","13 U.S.C. §§ 8(b), 9(a) (Census Act)","Baldrige v Shapiro, 455 U.S, 345, 355 (1982)","Certain Census Data","29"
"Department of Commerce","Agency Overall","2015","42 U.S.C. § 405(r) (Social Security Act)","Int'l Diatomite Producers Ass'n v. SSA, No. 92-1634, 1993 WL 137286, at *3 (N.D. Cal. Apr. 28, 1993), appeal dismissed per stipulation, No. 93-16204 (9th Cir. Oct. 27, 1993).","Death certificates and records pertaining to deaths provided to the Commissioner of Social Security under this subsection","2"
"Department of Commerce","Agency Overall","2015","15 U.S.C. § 7306(d) (National Construction Safety Teams)","Quick v. Dep't of Commerce, 775 F. Supp. 2d 174, 180-81 (D.D.C. 2011).","[A]ny information . . . receive[d] in the course of an investigation under this chapter if the Director finds that the disclosure of that information might jeopardize public safety","2"
"Department of Commerce","Agency Overall","2015","15 U.S.C. § 7306(c)","N/A","Voluntarily provided safety-related information","1"
"Department of Commerce","Agency Overall","2015","16 U.S.C. 1881a(b)(1)","N/A","Any information submitted to the Secretary, a State fishery management agency, or a marine fisheries commission by any person in compliance with the requirements of this chapter shall be confidential and shall not be disclosed except . . . (subsections A-H)","10"
"Department of Commerce","Agency Overall","2015","31 U.S.C. § 3730(b)(2)","N/A","Records pertaining to civil actions for false claims against the United States Government","1"
"Department of Commerce","Agency Overall","2015","35 U.S.C. § 122 (Patent Act)","Irons & Sears v. Dann, 606 F.2d 1215, 1220 (D.C. Cir. 1979), cert. denied, 444 U.S. 1075 (1980); Leeds v. Quigg, 720 F. Supp. 193, 194 (D.D.C. 1989), aff'd mem., No. 89-5062 (D.C. Cir. Oct. 24, 1989)","Applications for patents; certain information pertaining to applications for patents","13"
"Department of Commerce","Agency Overall","2015","41 U.S.C. § 253b(m)(1)","Sinkfield v. HUD. No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA. No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior. 305F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted. No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","2"
"Department of Commerce","Agency Overall","2015","50 U.S.C. § 3605","N/A","Administrative Authority for NSA","1"
"Department of Commerce","Agency Overall","2015","50 U.S.C. app. § 2170(c) (currently at 50 U.S.C. § 4565(c))","N/A","Information on documentary material filed with the Committee on Foreign Investment in the United States","2"
