"Agency","Component","Fiscal Year","Statute","Case Citation","Type of Information Withheld","Number of Times Relied Upon"
"Department of Justice","Agency Overall","2008","15 U.S.C. § 1314(g)","Motion Picture Ass'n of Am. v. DOJ, No. 80 Civ. 6612 (S.D.N.Y. Oct. 6, 1981)","Documentary material, answers to written interrogatories, or transcripts of oral depositions submitted in response to a Civil Investigative Demand (CID)","6"
"Department of Justice","Agency Overall","2008","15 U.S.C. § 4305(d)","None","Information submitted under the National Cooperative Research and Production Act of 1993","2"
"Department of Justice","Agency Overall","2008","18 U.S.C. § 798","N.Y. Times Co. v. DOD, 499 F. Supp. 2d 501 (S.D.N.Y. 2007)","Certain classified information pertaining to communications intelligence and cryptographic devices of the United States or any foreign government","5"
"Department of Justice","Agency Overall","2008","18 U.S.C. §§ 2510-2520","Lam Lek Chong v. DEA, 929 F.2d 729 (D.C. Cir. 1991)","Title III wiretap requests and information; information pertaining to the interception and disclosure of wire, oral, or electronic communication","73"
"Department of Justice","Agency Overall","2008","18 U.S.C. § 3123","Manna v. DOJ, 815 F. Supp 798 (D.N.J. 1993), aff'd on other grounds, 51 F.3d 1158 (3d Cir. 1995)","Pen registers; pen register orders","9"
"Department of Justice","Agency Overall","2008","18 U.S.C. § 3153","None","Information regarding pre-trial services","2"
"Department of Justice","Agency Overall","2008","18 U.S.C. § 3509","None","Pornography","1"
"Department of Justice","Agency Overall","2008","18 U.S.C. § 3521","None","Witness security information","10"
"Department of Justice","Agency Overall","2008","18 U.S.C. § 5038","None","Juvenile arrest records","6"
"Department of Justice","Agency Overall","2008","26 U.S.C. § 6103","Church of Scientology v. IRS, 484 U.S. 9 (1987)","Certain tax return information","77"
"Department of Justice","Agency Overall","2008","26 U.S.C. § 7123","None","Federal income tax records","1"
"Department of Justice","Agency Overall","2008","41 U.S.C. § 235b(m)(1)","Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21 (D.D.C. 2003), summary affirmance granted, No. 03- 5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004)","Proposals not incorporated into contracts","2"
"Department of Justice","Agency Overall","2008","42 U.S.C. § 2000e-5(b)","Frito-Lay v. EEOC, 964 F. Supp. 236 (W.D. Ky. 1997)","Information pertaining to unlawful employment practices","1"
"Department of Justice","Agency Overall","2008","42 U.S.C. § 2000g-2(b)","None","CRS confidentiality clause; CRS confidential information","1"
"Department of Justice","Agency Overall","2008","42 U.S.C. § 3789g","None","Data received by the Bureau of Justice Statistics and used only for statistical or research purposes","1"
"Department of Justice","Agency Overall","2008","49 U.S.C. § 114(s)","Gordon v. FBI, 390 F. Supp. 2d 897 (N.D. Cal. 2004)","Information pertaining to security activities","1"
"Department of Justice","Agency Overall","2008","50 U.S.C. § 402 note","Founding Church of Scientology v. NSA, 610 F.2d 824 (D.C. Cir. 1979)","Certain information pertaining to National Security Agency employees; information regarding the functions, organizations, or activities of the National Security Agency; national security sources and methods","11"
"Department of Justice","Agency Overall","2008","50 U.S.C. § 403g","CIA v. Sims, 471 U.S. 159 (1985)","Intelligence sources and methods; certain information pertaining to agency personnel; information regarding CIA organization, activities, and personnel","82"
"Department of Justice","Agency Overall","2008","50 U.S.C. § 403-1(i)","CIA v. Sims, 471 U.S. 159 (1985)","National security sources and methods; intelligence sources and methods","80"
"Department of Justice","Agency Overall","2008","Fed. R. Crim. P. 6(e)","Fund for Constitutional Government v. N.A.R.S., 656 F.2d 856 (D.C. Cir. 1981)","Certain records pertaining to grand jury proceedings","541"
"Department of Justice","Agency Overall","2008","Pub. L. No. 110-161, 121 Stat. 1844","City of Chicago v. U.S. Dep't of the Treasury, 423 F.3d 777 (7th Cir. 2005)","Information required to be maintained by Federal Firearms Licensees and information maintained in the ATF Firearms Tracing Systems","77"
"Federal Energy Regulatory Commission","Agency Overall","2008","16 U.S.C. § 470aa, et seq. (1994) [Specifically 16 U.S.C. § 470hh(a)]","None","Archaeological survey data","2"
"Commodity Futures Trading Commission","Agency Overall","2008","Section 8(a) of the Commodity Exchange Act, 7 U.S.C. § 12(a)","The use of Section 8(a) has not been challenged in court.","Business transactions or market positions of any person and trade secrets or names of customers, and any data or information concerning or obtained in connection with any pending investigation of any person","17"
"Department of the Interior","Agency Overall","2008","Administrative Procedure Act (5 U.S.C § 574)","None","Klamath River Basin Restoration Agreement","1"
"Department of the Interior","Agency Overall","2008","American Indian Religious Freedom Act, Amendments of 1994 (42 U.S.C. §1996)","None","Location of plants used for ceremonial purposes","1"
"Department of the Interior","Agency Overall","2008","Archaeological Resources Protection Act (16 U.S.C. §470hh(a))","Starkey v. U.S. Department of the Interior, 238 F. Supp. 2d 1188 (S.D. Cal 2002)","Cultural Resources Inventory Information","20"
"Department of the Interior","Agency Overall","2008","Indian Mineral Development Act (25 U.S.C. §2103(c))","None","Indian Mineral Development Agreement with Black Rock, JT Energy and Dakota 3","2"
"Department of the Interior","Agency Overall","2008","National Defense Authorization Act (41 U.S.C. §253b)","Center for Public Integrity v. U.S. Department of Energy, 191 F. Supp. 2d 187 (D.D.C. 2002)","Unsuccessful bidders, individual and company names/unit price total amounts","14"
"Department of the Interior","Agency Overall","2008","National Historic Preservation Act (16 U.S.C. § 470w-3)","None","PAL Cultural Resources Study","10"
"Department of the Interior","Agency Overall","2008","National Parks Omnibus Act (16 U.S.C. §5937, Sec. 207)","None","Plant locations and names of rare endangered species","1"
"Department of the Interior","Agency Overall","2008","Rule 6(e), Federal Rules of Criminal Procedure (18 U.S.C. §385)","None","Disclosure of information would reveal the identities of witnesses or jurors, substance of the testimony, strategy or direction of the investigation, or the  deliberations or questions of the jurors","10"
"Farm Credit System Insurance Corporation","Agency Overall","2008","None","N/A","N/A","0"
"Department of the Treasury","Agency Overall","2008","26 U.S.C.  6103","Church of Scientology Int’l v. United Stats Dep’t of Justice, 30 F.3d 224, 235 (1st Cir. 1994).","Taxpayer Information","2072"
"Department of the Treasury","Agency Overall","2008","31 U.S.C. 5319","Small v. IRS, 820 F. Supp. 163 (D.N.J. 1992)","Bank Secrecy Act Records: Prohibits the disclosure of records.  Generally used to withhold Currency Transaction Reports.","106"
"Department of the Treasury","Agency Overall","2008","26 U.S.C. 6105","Tax Analysts v. IRS, 217 F. Supp. 2d 23 (D.D.C. 2002)","Confidential information arising under treaty obligations.","5"
"Department of the Treasury","Agency Overall","2008","Rule 6(e) of the Federal Rules of Criminal Procedure","Fund for Constitutional Gov’t v. National Archives & Records Service, 656 F. 2nd 856, 867 (D.C. Cir. 1981); Walston v. U.S. Department of Justice, 799 F. Supp. 193, 195 (D.D.C. 1992).","Part of the Federal Rules of Criminal Procedure – Grand Jury Secrecy: regulates matters occurring before the Grand Jury.  Used to withhold records used in Grand Jury proceedings.","19"
"Department of the Treasury","Agency Overall","2008","18 U.S.C. 701","","Official Badges, identification cards. Prohibits the reproduction of official identification media. Used to withhold copies of IRS employee identification badges and pocket commissions.","28"
"Department of the Treasury","Agency Overall","2008","41 U.S.C. 253 (b)","Hornbostel v. Dept of Interior, No.02-0523, 2003 WL 23303294 (D.D.C., 2003)","Protects the solicitations of unsuccessful bidders in a competitive proposal. This provision is used to withhold the unsuccessful bidder’s contract proposal as well as information in the winning solicitation that was not incorporated into the contract.","2"
"Federal Mine Safety and Health Review Commission","Agency Overall","2008","0","N/A","0","0"
"Office of Government Ethics","Agency Overall","2008","None","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2008","41 U.S.C. 253b(m)(1)","Y","Contractor Proposals","2"
"Nuclear Regulatory Commission","Agency Overall","2008","42 U.S.C. 2167","Y","Safeguards Information","1"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2008","0","N/A","0","0"
"Federal Election Commission","Agency Overall","2008","2 U.S.C. § 437g(a)(12)(A) ","N/A","The Commission is
prohibited from
disclosing ""any
notification or
investigation made under
this section"" of ""any person without the 
written consent of the
person receiving such
notification or the person
with respect to whom
such investigation is
made.""","2"
